layername,1,2,3,4,5,6,avg,std
transform,0.004842,0.004869,0.004861,0.004886,0.005168,0.005166,0.004965333,0.000156851
conv1,0.018829,0.018824,0.018832,0.018837,0.01884,0.018874,0.018839333,1.79072E-05
bn1,0.018727,0.018727,0.018745,0.018741,0.018763,0.018779,0.018747,2.05913E-05
relu,0.004032,0.004026,0.004039,0.004028,0.004037,0.004045,0.0040345,7.17635E-06
maxpool,0.009231,0.009216,0.009219,0.009206,0.009248,0.009248,0.009228,1.74241E-05
layer1,0.237598,0.236701,0.236232,0.237937,0.237916,0.238158,0.237423667,0.000776899
layer2,0.23365,0.234141,0.235198,0.235444,0.235356,0.235781,0.234928333,0.000836971
layer3,0.260289,0.26066,0.262299,0.262482,0.262467,0.262937,0.261855667,0.001096897
layer4,0.183127,0.184089,0.184906,0.184555,0.184661,0.186002,0.184556667,0.000947055
inner_3,0.004338,0.004367,0.004383,0.004449,0.004446,0.004399,0.004397,4.40136E-05
layer_3,0.00387,0.003895,0.003941,0.003948,0.00394,0.003924,0.003919667,3.08718E-05
inner_2,0.007532,0.00761,0.007589,0.007617,0.007608,0.007618,0.007595667,3.28917E-05
interpolate__2,0.000502,0.000499,0.000501,0.000512,0.000501,0.000512,0.0005045,5.89067E-06
layer_2,0.012805,0.012761,0.01282,0.012872,0.012837,0.012724,0.012803167,5.33195E-05
inner_1,0.016737,0.016714,0.016894,0.016998,0.016927,0.01688,0.016858333,0.000110921
interpolate__1,0.00174,0.00174,0.001759,0.001755,0.001756,0.001752,0.001750333,8.31064E-06
layer_1,0.041358,0.041362,0.04176,0.041866,0.041983,0.041845,0.041695667,0.000269579
inner_0,0.039937,0.039812,0.040129,0.040169,0.040111,0.040172,0.040055,0.000147153
interpolate__0,0.006861,0.006847,0.006914,0.006924,0.006924,0.006909,0.0068965,3.37209E-05
layer_0,0.153026,0.152391,0.152837,0.153613,0.155009,0.154657,0.153588833,0.001046449
extra,8.20E-05,8.20E-05,0.000273,8.30E-05,8.30E-05,0.000287,0.000148333,0.000102086
rpn_parallel_f0,0.178196,0.178653,0.179013,0.178245,0.180817,0.17999,0.179152333,0.001046841
rpn_parallel_f1,0.054292,0.054844,0.053014,0.053408,0.053928,0.054559,0.0540075,0.000698225
rpn_parallel_f2,0.022947,0.022867,0.023388,0.022711,0.02297,0.023127,0.023001667,0.000233056
rpn_parallel_f3,0.011429,0.013102,0.012863,0.013006,0.013235,0.0129,0.012755833,0.000664044
rpn_parallel_f4,0.00944,0.011494,0.009487,0.009836,0.011855,0.009825,0.010322833,0.001066023
rpn_merger,0.018655,0.020826,0.018745,0.018391,0.018711,0.019087,0.019069167,0.000888999
roi_box_pool,0.117786,0.118164,0.118493,0.118787,0.119042,0.119333,0.118600833,0.000571272
fc6,0.142937,0.140614,0.142125,0.14173,0.141901,0.135753,0.140843333,0.002603653
fc7,0.01148,0.011519,0.011571,0.011581,0.011581,0.011557,0.011548167,4.06272E-05
cls_score,0.001413,0.001407,0.001417,0.001415,0.00144,0.001435,0.001421167,1.31821E-05
bbox_pred,0.004171,0.004181,0.004216,0.004218,0.004202,0.004207,0.004199167,1.91355E-05
postprocess_detections,0.009546,0.010986,0.010525,0.011377,0.009511,0.011764,0.010618167,0.000938947
,1.841405,1.84799,1.848988,1.851627,1.857774,1.854206,1.850331667,0.005640051